Vegueria,Number of Nodes,Average Node Degree,Total Length (m),Average Street Length (m),Average Betweenness Centrality (Nodes),Average Betweenness Centrality (Edges),Orientation Entropy,Normalized Measure of Orientation-Order,Proportion of Dead-ends,Proportion of k=4 Intersections,Detour Index
Alt Pirineu i Aran,388.5,4.28414142673148,59507.2240215001,108.92810562952974,0.06147778953974295,0.03064287264925395,3.5141996882285533,0.062058700834371996,0.17554283368305806,0.088248428014531,1.243611392679579
Barcelona,2431.0,3.9631195069715366,309447.25524418976,84.83038355229527,0.01385095015386615,0.0072223459957538,3.4273624540619965,0.13698958969120528,0.0534547333075035,0.2397477878389925,1.0436242628581558
Camp de Tarragona,1231.0,4.092607636068237,165571.93713750568,106.4652266876183,0.0217254004301449,0.0109882915375956,3.5155957983236616,0.060862657765222,0.1198428290766208,0.1078431372549019,1.0807993206388822
Catalunya Central,585.0,4.226069246435845,81881.66707074446,93.15030746490692,0.0318771898960578,0.015364378709253,3.527091255189287,0.0506964558416452,0.1128205128205128,0.130718954248366,1.091869658956748
Girona,888.0,4.370860927152318,104498.5275297779,87.87697344819706,0.0261178603229318,0.0132299530049096,3.4773450183931334,0.0942963472393473,0.1096774193548387,0.157190635451505,1.0627826013129975
Lleida,663.0,4.266706748977428,116418.36317249757,115.58251281610308,0.0289696606501452,0.0137367576496549,3.490017909543311,0.08328081980863045,0.0909282955094157,0.1340299014610941,1.0542398228807626
Penedès,1614.0,4.094027954256671,211632.58573377368,86.47220433222671,0.0184839686475164,0.010222246841373,3.502293419182763,0.0725585330101195,0.053903345724907,0.1737111007895959,1.0408508655835766
Terres de l'Ebre,821.0,4.58203918432627,166974.3970802044,124.28999476587302,0.0302028948438228,0.01374665123441845,3.474408866911298,0.09667854414369559,0.11188241944601465,0.15553420011305813,1.0911156929916732
