Vegueria,Number of Nodes,Average Node Degree,Total Length (m),Average Street Length (m),Average Betweenness Centrality (Nodes),Average Betweenness Centrality (Edges),Orientation Entropy,Normalized Measure of Orientation-Order,Proportion of Dead-ends,Proportion of k=4 Intersections,Detour Index
Alt Pirineu i Aran,350.1666666666667,4.37207931962353,58041.91613132906,140.26270879439218,0.0576178760579202,0.027557255329828032,3.5072444061691996,0.06777942311051116,0.17906367086779104,0.0924508593613468,1.2296498279685508
Barcelona,3143.0,3.926395453112223,450851.820784031,86.85887273731457,0.01701851949916125,0.00890031826997335,3.4083699363114985,0.15151467856001985,0.054336901680560525,0.24204128138056058,1.0452775898624502
Camp de Tarragona,1500.6,4.184479716926454,211080.49849204757,101.46469265368616,0.026805653895389258,0.012974121275894018,3.5229324796523125,0.05422778034119056,0.10851238276622685,0.1149746562791725,1.0823784843995305
Catalunya Central,770.1428571428571,4.396804329774832,104289.65195219846,96.11138921193411,0.03317364364680727,0.015568212209814358,3.5030372179421074,0.07103099940154668,0.10411208510524703,0.1354811474700972,1.09393956684281
Girona,987.0,4.3601724252927045,125262.78633113434,90.58626534236798,0.031544258861355604,0.014971192552182143,3.4957271351882695,0.07802433749014193,0.10457837399557542,0.16036821335583193,1.0776309041097727
Lleida,1089.3333333333333,4.324335931783486,186989.13896961845,107.93864880403709,0.027187999190053883,0.0131443958589918,3.4851310507623516,0.08715092526709455,0.08788199731575179,0.13409180323165348,1.051098666354923
Penedès,1518.0,4.098803345726881,197844.6925715457,87.26132095873197,0.0201545310085829,0.0102728420114745,3.517577692647689,0.05881677719583923,0.06387045841358936,0.17401631505320578,1.0410086927834559
Terres de l'Ebre,864.25,4.575012538871599,167274.67168353527,125.19692265949823,0.0302154728619472,0.01371300271509545,3.477255592831954,0.09391718503378298,0.10794766363494902,0.17969436486489143,1.0844762856133916
